FileName,e_lfanew,SizeOfCode,SizeOfInitializedData,AddressOfEntryPoint,ImageBase,SectionAlignment,FileAlignment,SizeOfImage,DllCharacteristics,BaseOfCode,NumberOfRvaAndSizes,LoaderFlags,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfHeaders,CheckSum,Subsystem,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,ShannonEntropy
/home/kali/Desktop/Virusshare/VirusShare_00d6ba82eed3ca0af8cf3a4342014bb1,232,43008,54784,7312,4194304,4096,512,118784,32768,4096,16,0,5,0,0,0,5,0,1024,0,2,1048576,4096,1048576,4096,5.366070572265295
/home/kali/Desktop/Virusshare/VirusShare_00e236527d4294fc5a75eb1cbc2eb141,248,393216,53248,1198880,4194304,4096,512,1253376,0,806912,16,0,4,0,0,0,4,0,4096,0,2,1048576,4096,1048576,4096,7.732163956411047
/home/kali/Desktop/Virusshare/VirusShare_00ea535ecc3b6f358b73add6dfade641,224,102400,69632,4101,4194304,4096,4096,1392640,0,4096,16,0,4,0,0,0,4,0,4096,176548,2,1048576,4096,1048576,4096,5.79884006666494
/home/kali/Desktop/Virusshare/VirusShare_00ed79d8ffb56a853365fb673ece1680,240,18432,70656,5193,4194304,4096,512,217088,32768,4096,16,0,5,0,0,0,5,0,1024,0,2,1048576,4096,1048576,4096,6.856133262509533
/home/kali/Desktop/Virusshare/VirusShare_00f14956960aad9a31d4147db524c65c,224,20480,634880,4101,268435456,4096,4096,659456,0,4096,16,0,4,0,0,0,4,0,4096,315370,2,1048576,4096,1048576,4096,5.368942509275362
/home/kali/Desktop/Virusshare/VirusShare_00f1a2c951baaeb34418c67607b70f50,248,101888,233472,8166,4194304,4096,512,393216,32768,4096,16,0,5,1,0,0,5,1,1024,380046,2,1048576,4096,1048576,4096,7.221329461180568
/home/kali/Desktop/Virusshare/VirusShare_00f360494544f2243a5bdde710af3178,256,79360,174080,30748,4194304,4096,512,290816,33024,4096,16,0,5,1,0,0,5,1,1024,277676,2,1048576,4096,1048576,4096,7.421309863445838
/home/kali/Desktop/Virusshare/VirusShare_00faac7951328980fd09a2d46ca42cc4,200,114688,4096,4304,268435456,4096,512,270336,0,151552,16,0,5,0,0,0,5,0,4096,0,2,1048576,4096,1048576,4096,5.2733720696776905
/home/kali/Desktop/Virusshare/VirusShare_01073c0a4e955bc499ec1ed3d7fb2725,224,151552,4096,373936,4194304,4096,512,385024,0,229376,16,0,8,1,7,0,4,0,4096,0,2,0,0,1048576,4096,7.971793777121847
/home/kali/Desktop/Virusshare/VirusShare_0108179f999ae1cc07bfcdd80401646e,240,45056,32768,46783,4194304,4096,4096,81920,0,4096,16,0,4,0,0,0,4,0,4096,0,2,1048576,4096,1048576,4096,6.496059511344301
/home/kali/Desktop/Virusshare/VirusShare_0110ad82db9588d6f67be87e371a5ac2,128,293888,328704,4096,1835794432,4096,512,352256,0,4096,16,0,4,0,1,0,4,0,1024,374069,3,2097152,4096,1048576,4096,3.948603757747447
/home/kali/Desktop/Virusshare/VirusShare_011c8311cae1ccf9f9897109a95d2bc0,216,24064,164864,12538,4194304,4096,512,229376,32768,4096,16,0,4,0,6,0,4,0,1024,0,2,1048576,4096,1048576,4096,7.728338208210815
/home/kali/Desktop/Virusshare/VirusShare_012c905a4eedd08e6ce9bb685ffa7858,176,8192,4096,37328,4194304,4096,512,45056,0,32768,16,0,4,0,1,0,4,0,4096,0,2,1048576,4096,1048576,4096,5.898042357291791
/home/kali/Desktop/Virusshare/VirusShare_0137733458a8d44f3b7b71d4443a3261,248,248832,87040,19802,4194304,4096,512,360448,32768,4096,16,0,5,1,0,0,5,1,1024,349063,2,1048576,4096,1048576,4096,7.298164763405674
/home/kali/Desktop/Virusshare/VirusShare_013a6792921b4d7a70daab3b0853d838,256,169984,392192,173841,4194304,4096,512,413696,0,4096,16,0,10,0,10,3,4,0,4096,0,2,1048576,4096,1048576,4096,6.805562473006195
/home/kali/Desktop/Virusshare/VirusShare_013a709c091d886e5ea0f9500bacc100,128,100352,59904,22320,4194304,4096,512,176128,0,4096,16,0,4,0,0,0,4,0,1024,202803,2,1048576,4096,1048576,4096,5.951383514528909
/home/kali/Desktop/Virusshare/VirusShare_013adbe1b2822b06a47fb790a571769f,216,28672,1134592,10704,4194304,4096,4096,5201920,0,4096,16,0,4,0,0,0,4,0,4096,5187299,2,1048576,4096,1048576,4096,4.417513268241741
/home/kali/Desktop/Virusshare/VirusShare_013e3344431572ebb5c7c9d0615bf6ff,208,221184,4096,331392,4194304,4096,512,339968,0,114688,16,0,10,0,9,1,4,0,4096,0,2,0,0,1048576,4096,7.906847006755611
/home/kali/Desktop/Virusshare/VirusShare_0141f3cddf3bdeeb8184e616e620ee0b,232,61440,32768,56312,4194304,4096,4096,98304,0,4096,16,0,4,0,0,0,4,0,4096,0,2,1048576,4096,1048576,4096,5.666334141151438
/home/kali/Desktop/Virusshare/VirusShare_014683bc4b4351a72b86aa66201b0794,256,945664,607744,949084,320077824,4096,512,1601536,0,4096,16,0,4,0,0,0,4,0,1024,0,2,1048576,16384,1048576,4096,6.849157252915566
/home/kali/Desktop/Virusshare/VirusShare_0147e388282d671ea176fd8313fd6695,208,167936,4096,300448,4194304,4096,4096,311296,0,139264,16,0,5,4,9,0,4,0,4096,0,2,0,0,1048576,4096,7.964606649837538
/home/kali/Desktop/Virusshare/VirusShare_014a7dc11782fdac417a19e70467d722,192,0,24576,41379,4194304,4096,512,69632,0,4096,16,0,4,0,0,0,4,0,1024,42738,2,1048576,4096,1048576,4096,7.833876847510029
/home/kali/Desktop/Virusshare/VirusShare_014dc0401c60f5d8559cacfc36024b30,696,512,86016,4096,4194304,4096,512,81920,0,4096,16,0,4,0,0,0,4,0,1536,5296,2,1048576,4096,1048576,4096,7.621728329748543
/home/kali/Desktop/Virusshare/VirusShare_01501f0e4143a1f62d2240a0e26a91a0,224,3072,164864,4512,268435456,4096,512,184320,0,4096,16,0,5,0,0,0,5,0,1024,215306,2,1048576,4096,1048576,4096,6.296902775885518
/home/kali/Desktop/Virusshare/VirusShare_01512b9f15ef9a04d2fafdda310f2d4d,216,133120,68096,136960,4194304,4096,512,221184,32768,4096,16,0,5,0,0,0,5,0,1024,0,2,1048576,4096,1048576,4096,6.078790796066084
/home/kali/Desktop/Virusshare/VirusShare_01590ef339e8b7301638b0e4e4972fe7,248,112128,365568,12117,4194304,4096,512,532480,32768,4096,16,0,5,1,0,0,5,1,1024,442316,2,1048576,4096,1048576,4096,7.533516436020663
/home/kali/Desktop/Virusshare/VirusShare_015f435e165ea15ad568398c739caa07,224,184320,443392,4101,268435456,4096,1024,638976,0,4096,16,0,4,0,0,0,4,0,1024,239041,2,1048576,4096,1048576,4096,5.843178268926955
/home/kali/Desktop/Virusshare/VirusShare_0165a2f57de3c2c068bfa158c6593350,216,81920,114688,21776,184549376,4096,4096,200704,64,4096,16,0,4,0,0,0,4,0,4096,0,3,1048576,4096,1048576,4096,4.813008657055402
/home/kali/Desktop/Virusshare/VirusShare_016671f48a0520c9eca3b9124d1514ab,64,8704,14848,12528,4194304,4096,512,106496,0,4096,16,0,4,0,0,0,4,0,512,0,2,1048576,16384,1048576,4096,3.52142603107052
/home/kali/Desktop/Virusshare/VirusShare_01688e1dc2d0f85614c7154bb814a56d,248,13824,195072,16637,2095054848,4096,512,225280,0,4096,16,0,4,0,0,0,4,0,1024,167097,3,1048576,4096,1048576,4096,6.097594681200971
